            Final solution
   i        x         y       potential

   1     0.00000   0.02000     10.00000
   2     0.02000   0.02000     10.00000
   3     0.04000   0.02000     10.00000
   4     0.06000   0.02000      5.94545
   5     0.08000   0.02000      2.84998
   6     0.10000   0.02000      0.00000
   7     0.00000   0.04000      7.50000
   8     0.02000   0.04000      7.08348
   9     0.04000   0.04000      6.29765
  10     0.06000   0.04000      4.26483
  11     0.08000   0.04000      2.12146
  12     0.10000   0.04000      0.00000
  13     0.00000   0.06000      5.00000
  14     0.02000   0.06000      4.53625
  15     0.04000   0.06000      3.84231
  16     0.06000   0.06000      2.69475
  17     0.08000   0.06000      1.37105
  18     0.10000   0.06000      0.00000
  19     0.00000   0.08000      2.50000
  20     0.02000   0.08000      2.21921
  21     0.04000   0.08000      1.84059
  22     0.06000   0.08000      1.30083
  23     0.08000   0.08000      0.66797
  24     0.10000   0.08000      0.00000
  25     0.00000   0.10000      0.00000
  26     0.02000   0.10000      0.00000
  27     0.04000   0.10000      0.00000
  28     0.06000   0.10000      0.00000
  29     0.08000   0.10000      0.00000
  30     0.10000   0.10000      0.00000
  31     0.04000   0.00000     10.00000
  32     0.06000   0.00000      6.66700
  33     0.08000   0.00000      3.33300
  34     0.10000   0.00000      0.00000
